transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,user_transaction_frequency,user_total_spending,user_avg_transaction,user_expense_ratio,year,month,day_of_week,is_weekend,amount_category
T03512,U039,2021-12-22,Expense,Rent,998.0,Cash,Pune,Paid electricity bill ,86,1017618.0,11832.767441860466,0.8255813953488372,2021.0,12.0,2.0,0,Large
T03261,U179,2022-03-24,Expense,Food,143.0,Card,Delhi,Grocery shopping,87,945163.0,10863.942528735632,0.8390804597701149,2022.0,3.0,3.0,0,Medium
T04316,U143,2022-10-18,Expense,Rent,149.0,Cash,Bengaluru,,90,876727.0,9741.41111111111,0.8555555555555555,2022.0,10.0,1.0,0,Medium
T05649,U079,2021-12-12,Expense,Rent,49.0,UPI,,Paid electricity bill,82,706444.0,8615.170731707318,0.8536585365853658,2021.0,12.0,6.0,1,Small
T14750,U020,,Income,Other Income,83802.0,Bank Transfer,Chennai,Gift via app,101,1108349.0,10973.752475247526,0.8316831683168316,,,,0,Extreme
T04246,U188,2022-07-12,Expense,Entertainment,208.0,UPI,Hyderabad,Monthly rent,79,895223.0,11331.93670886076,0.8354430379746836,2022.0,7.0,1.0,0,Medium
T01814,U150,2019-09-12,Expense,Savings,681.0,Cash,Kolkata,Salary,84,1827844.0,21760.04761904762,0.8452380952380952,2019.0,9.0,3.0,0,Large
T06293,U014,2022-01-06,Expense,Rent,2524.0,Bank Transfer,,Salary,91,488139.0,5364.1648351648355,0.9120879120879121,2022.0,1.0,3.0,0,Very Large
T07930,U138,2022-11-04,Expense,Education,93.0,Bank Transfer,Pune,hZtATyn1UX55solCMr1,72,458637.0,6369.958333333333,0.8888888888888888,2022.0,11.0,4.0,0,Small
T04656,U112,2021-02-03,Expense,Food,323.0,UPI,Ahmedabad,Monthly rent,81,1724906.0,21295.135802469136,0.8518518518518519,2021.0,2.0,2.0,0,Medium
T11712,U117,2022-11-02,Expense,Others,662.0,UPI,Chennai,Salary cash,93,1848899.0,19880.63440860215,0.8602150537634409,2022.0,11.0,2.0,0,Large
T00308,U009,2022-11-21,Expense,Food,1019.0,UPI,Kolkata,,86,650503.0,7563.988372093023,0.8837209302325582,2022.0,11.0,0.0,0,Very Large
T01783,U092,2022-12-29,Expense,Entertainmennt,203.0,Bank Transfer,jaipur,Course fee ,75,1581118.0,21081.573333333334,0.88,2022.0,12.0,3.0,0,Medium
T09558,U082,2020-10-26,Income,Salaryy,59149.0,Bank Transfer,Chennai,Netflix subscription,85,1779994.0,20941.105882352942,0.8470588235294118,2020.0,10.0,0.0,0,Extreme
T09993,U148,2021-05-25,Income,Other Income,78744.0,Bank Transfer,,Doctor visit,72,775852.0,10775.722222222223,0.8472222222222222,2021.0,5.0,1.0,0,Extreme
